Code INSEE,code_region,code_departement,Département,siren_epci,EPCI,Logements,Établissements,Locaux raccordables 4eme trimestre 2017,Locaux raccordables 1er trimestre 2018,Locaux raccordables 2eme trimestre 2018,Locaux raccordables 4eme trimestre 2018,Locaux raccordables 3eme trimestre 2018,Locaux raccordables 1er trimestre 2019,Locaux raccordables 2eme trimestre 2019,Locaux raccordables 3eme trimestre 2019,Locaux raccordables 4eme trimestre 2019,Locaux raccordables 1er trimestre 2020,Locaux raccordables 2eme trimestre 2020,Locaux raccordables 3eme trimestre 2020,Locaux raccordables 4eme trimestre 2020,Locaux raccordables 1er trimestre 2021,Locaux raccordables 2eme trimestre 2021,Locaux raccordables 3eme trimestre 2021,Locaux raccordables 4eme trimestre 2021,Région,deploiement,Locaux raccordables 1er trimestre 2022,commune,Commune,EPCI AMII,Nombre locaux IPE T2 2022 (somme tous OI),Source retenue T2 2022 ,Meilleure estimation des locaux T2 2022 ,Zones très denses,Engagements L. 33-13 et AMEL,Intentions privées hors engagement L. 33-13,Commune rurale,OI T2 2022,Locaux raccordables 2eme trimestre 2022
44031,52,44,Loire-Atlantique,200072726,CC Châteaubriant-Derval,426,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,La Chapelle-Glain,La Chapelle-Glain,Non,0,INSEE 2018 (IPE moins complet),444,0,0,0,1,,0
44038,52,44,Loire-Atlantique,200067346,CA Pornic Agglo Pays de Retz,"1,278",41,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,8,10,Pays de la Loire,,10,Chauvé,Chauvé,Non,82,INSEE 2018 (IPE moins complet),"1,320",0,0,0,1,FI44-LOAN,10
44049,52,44,Loire-Atlantique,244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),"5,372",156,0,0,0,0,0,0,0,0,120,672,827,"1,492","2,901","3,177","3,991","4,071","4,342",Pays de la Loire,,"4,405",Le Croisic,Le Croisic,Oui,"6,012",IPE T2 2022 (un IPE),"5,987",0,,0,0,FRTE-SFTT,"4,988"
44061,52,44,Loire-Atlantique,244400586,CC du Sud-Estuaire,"1,383",49,0,0,0,0,0,0,0,0,590,790,790,"1,107","1,224","1,235","1,236","1,268","1,299",Pays de la Loire,,"1,328",Frossay,Frossay,Non,"1,550",IPE T2 2022 (un IPE),"1,550",0,0,0,1,LOAN,"1,366"
44064,52,44,Loire-Atlantique,200067635,CA Clisson Sèvre et Maine Agglo,"1,931",77,0,108,253,829,694,900,956,957,972,984,987,988,988,988,988,988,990,Pays de la Loire,,"1,010",Gorges,Gorges,Non,"1,248",INSEE 2018 (IPE moins complet),"2,008",0,0,0,0,FI44-LOAN,"1,011"
44065,52,44,Loire-Atlantique,200072726,CC Châteaubriant-Derval,431,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Grand-Auverné,Grand-Auverné,Non,0,INSEE 2018 (IPE moins complet),446,0,0,0,1,,0
44071,52,44,Loire-Atlantique,200067635,CA Clisson Sèvre et Maine Agglo,"2,370",194,1,1,1,1,1,1,1,1,1,1,1,1,45,84,153,164,202,Pays de la Loire,,645,Haute-Goulaine,Haute-Goulaine,Non,"4,691",INSEE 2018 (IPE moins complet),"2,564",0,0,0,0,FI44-FRTE-LOAN,"2,401"
44078,52,44,Loire-Atlantique,200072726,CC Châteaubriant-Derval,198,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Juigné-des-Moutiers,Juigné-des-Moutiers,Non,0,INSEE 2018 (IPE moins complet),206,0,0,0,1,,0
44083,52,44,Loire-Atlantique,244400438,CC de Grand Lieu,918,33,0,0,0,0,0,129,129,129,129,129,129,129,129,129,129,129,129,Pays de la Loire,,129,La Limouzinière,La Limouzinière,Non,130,INSEE 2018 (IPE moins complet),952,0,0,0,1,LOAN,130
44086,52,44,Loire-Atlantique,200072726,CC Châteaubriant-Derval,520,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pays de la Loire,,0,Lusanger,Lusanger,Non,0,INSEE 2018 (IPE moins complet),545,0,0,0,1,,0
